vendor_no,supplier_name,part_no,part_desc,blanket_po,po_date,po_qty,unit_price,received_qty,desp_qty,vendor_remark,hal_remark,id,division_name,blanket_line
IS0456,SHAKAMBARI INDUSTRIES,104.10.09.062-1,CARRIER,20SBI-1024,26-09-2020,11,440,11,11,,,19135,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.09.03.001-1,GASKET,19SBI-1084,27-08-2019,56,960,51,56,,,19136,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.10.02.011-1,COVER,21SBI-1119,08-03-2022,12,1070,11,12,,,19137,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.13.01.206-1,UNION,21SBI-1034,07-07-2021,5,400,5,5,,,19138,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.26.01.035-1,FLANGE,20SBI-1024,26-09-2020,10,2075,10,10,,,19139,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.09.07.001-1,BUSH,19SBI-1084,27-08-2019,27,2510,25,27,,,19140,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.10.09.062-1,CARRIER,21SBI-1119,08-03-2022,9,450,9,9,,,19141,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.26.01.035-1,FLANGE,21SBI-1034,07-07-2021,3,2200,3,3,,,19142,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,96.09.00.001-1,BRACKET,20SBI-1024,26-09-2020,14,2830,9,12,,,19143,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.12.051-1,PUMP CASING,20SBI-1024,26-09-2020,7,2460,7,7,,,19144,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.13.01.206-1,UNION,21SBI-1119,08-03-2022,13,400,11,13,,,19145,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,96.01.24.026-1,DRIVE FLANGE,21SBI-1034,07-07-2021,8,11450,7,8,,,19146,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,96.09.00.001-1,BRACKET,19SBI-1084,27-08-2019,13,2700,12,13,,,19147,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.23.003-1,COVER,20SBI-1024,26-09-2020,5,3490,5,5,,,19148,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.13.03.034-1,SLEEVE,21SBI-1119,08-03-2022,34,1400,0,34,,,19149,"Sukhoi Engine Divn, Koraput",
